percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
60,3,,Total,1560.4091863632202,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_60.csv,60
70,0,70.0,Dataloader,646.6884212493896,503.58349609375,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_70.csv,70
70,1,70.0,Train,1324.3495078086853,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_70.csv,70
70,2,70.0,Test,27.564287185668945,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_70.csv,70
70,3,,Total,1998.602216243744,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_70.csv,70
80,0,80.0,Dataloader,762.2667858600616,522.33837890625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_80.csv,80
80,1,80.0,Train,1723.6176025867462,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_80.csv,80
80,2,80.0,Test,35.3501672744751,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_80.csv,80
80,3,,Total,2521.234555721283,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_80.csv,80
90,0,90.0,Dataloader,826.4313459396362,522.33837890625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_90.csv,90
90,1,90.0,Train,2171.039382696152,476.81640625,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_90.csv,90
90,2,90.0,Test,44.122390031814575,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_90.csv,90
90,3,,Total,3041.5931186676025,476.7578125,ag-news-roberta-whitening-pca,ag-news-roberta-whitening-pca-mlp,save\ag-news-roberta-whitening-pca\ag-news-roberta-whitening-pca-mlp\summary_efficiency_90.csv,90
10,0,10.0,Dataloader,96.7800567150116,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_10.csv,10
10,1,10.0,Train,47.7800886631012,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_10.csv,10
10,2,10.0,Test,1.0412938594818115,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_10.csv,10
